name,platforms,genre,release_date
Project: Mist,PC,Action,"May 12, 2025"
Doom: The Dark Ages,"PC, PlayStation, Xbox",Action,"May 15, 2025"
Capcom Fighting Collection 2,"PC, PlayStation, Xbox, Nintendo",Fighting,"May 16, 2025"
Dune: Awakening,"PC, PlayStation, Xbox",Action,"May 20, 2025"
RoadCraft,"PC, PlayStation, Xbox",Simulation,"May 20, 2025"
Fantasy Life i: The Girl Who Steals Time,"PC, PlayStation, Xbox, Nintendo",RPG,"May 21, 2025"
JDM: Japanese Drift Master,PC,Racing,"May 21, 2025"
Deliver At All Costs,"PC, PlayStation, Xbox",Arcade,"May 22, 2025"
Blades of Fire,"PC, PlayStation, Xbox",Action,"May 22, 2025"
Onimusha 2: Samurai's Destiny,"PC, PlayStation, Xbox, Nintendo",Action,"May 23, 2025"
to a T,"PC, PlayStation, Xbox",Adventure,"May 28, 2025"
Dungeonborne,PC,RPG,"May 28, 2025"
BitCraft Online,PC,RPG,"May 29, 2025"
Lost Soul Aside,"PC, PlayStation",RPG,"May 30, 2025"
Dauntless,"PC, PlayStation, Xbox, Nintendo",RPG,"May 30, 2025"
Rune Factory: Guardians of Azuma,"PC, Nintendo",RPG,"May 30, 2025"
Elden Ring: Nightreign,"PC, PlayStation, Xbox",Action,"May 30, 2025"
A Rat's Quest: The Way Back Home,"PC, PlayStation, Xbox, Nintendo",Action,May 2025
Cthulhu: Books of Ancients,PC,Adventure,May 2025
Prologue: Go Wayback!,PC,Simulation,Q2 2025
The Mighty Eighth VR,PC,Simulation,May 2025
Binary Smoke,PC,Action,May 2025
The House of the Dead 2: Remake,"PC, PlayStation, Xbox, Nintendo",Action,Q2 2025
Moroi,PC,Action,Q2 2025
Leaden Sky,PC,Action,May 2025
Guns Undarkness,PC,RPG,May 2025
Out and About,"PC, Nintendo",Simulation,Q2 2025
Moth Kubit,"PC, Nintendo",RPG,Q2 2025
Big Ambitions,PC,Simulation,May 2025
Section 13,"PC, PlayStation, Xbox",Action,May 2025
Projekt Z: Beyond Order,"PC, PlayStation, Xbox",Action,2025
Command & Conquer: Legions,Mobile,Strategy,May 2025
Always in Mind,PC,Arcade,May 2025
Mecha Break,"PC, Xbox",Action,Q2 2025
Loose Leaf: A Tea Witch Simulator,PC,Simulation,May 2025
Survive the Fall,PC,RPG,May 2025
Beholder: Conductor,PC,Adventure,Q2 2025
Star Wars: Outlaws - A Pirate's Fortune,"PC, PlayStation, Xbox",Action,May 2025
Tales of Seikyu,PC,RPG,Q2 2025
Wartorn,PC,Strategy,Q2 2025
Everspace 2: Wrath of the Ancients,"PC, PlayStation, Xbox",Action,Q2 2025
City Car Driving 2.0,PC,Simulation,May 2025
Tower of Babel: Survivors of Chaos,PC,RPG,Q2 2025
Shape of Dreams,PC,Action,May 2025
XDefiant,"PC, PlayStation, Xbox",Action,"June 3, 2025"
Architect Life: A House Design Simulator,"PC, PlayStation, Xbox",Simulation,"June 5, 2025"
Forgotlings,"PC, PlayStation, Xbox, Nintendo",Adventure,"June 12, 2025"
Five Nights at Freddy's: Secret of the Mimic,"PC, PlayStation",Adventure,"June 13, 2025"
Mount & Blade II: Bannerlord - War Sails,"PC, PlayStation, Xbox",RPG,"June 17, 2025"
Death Stranding 2: On The Beach,PlayStation,Action,"June 26, 2025"
System Shock 2: 25th Anniversary Remaster,"PC, PlayStation, Xbox, Nintendo",Action,"June 26, 2025"
Vampire: The Masquerade - Bloodlines 2,"PC, PlayStation, Xbox",RPG,H1 2025
Plants vs. Zombies 3: Welcome to Zomburbia,Mobile,Strategy,June 2025
Dark Moon,PC,Strategy,Q2 2025
Farthest Frontier,PC,Strategy,Q2 2025
Broken Arrow,PC,Strategy,June 2025
Night is Coming,PC,Strategy,Q2 2025
Tiny Combat Arena,PC,Simulation,June 2025
Truck Mechanic: Dangerous Paths,PC,Simulation,Q2 2025
Demonschool,"PC, PlayStation, Xbox, Nintendo",RPG,Q2 2025
Enemy of the State,"PC, PlayStation, Xbox",Action,June 2025
Resident Evil Re:Verse,"PC, PlayStation, Xbox",Action,"June 30, 2025"
The Constructors,PC,Strategy,June 2025
"Football, Tactics & Glory: World",PC,Strategy,2025
GEX Trilogy,"PC, PlayStation, Xbox, Nintendo",Arcade,Q2 2025
The Precinct,"PC, PlayStation, Xbox",Action,H1 2025
Greenfield,PC,Adventure,June 2025
Ascent of Ashes,PC,Strategy,June 2025
Spirit of the North 2,"PC, PlayStation, Xbox",Adventure,Q2 2025
Ikaro Will Not Die,"PC, Xbox",Action,June 2025
Risk of Rain: Hostile Worlds,Mobile,Action,June 2025
Earth of Oryn,PC,Strategy,Q2 2025
Kingmakers,PC,Action,Q2 2025
Rise of Industry 2,"PC, PlayStation, Xbox",Strategy,Q2 2025
Hordes of Hunger,PC,Action,Q2 2025
Afterblast,PC,Action,Q2 2025
Viking Frontiers,PC,RPG,Q2 2025
Date Everything!,"PC, PlayStation, Xbox, Nintendo",Adventure,June 2025
Heroes of Might and Magic: Olden Era,PC,Strategy,Q2 2025
Bonaparte: A Mechanized Revolution,PC,Strategy,Q2 2025
Hell Clock,PC,RPG,Q2 2025
Chained Echoes: Ashes of Elrant,"PC, PlayStation, Xbox, Nintendo",RPG,June 2025
M.E.A.T. II: Absolute Zero,PC,Action,Q2 2025
Inkborn,PC,RPG,Q2 2025
The Karters 2: Turbo Charged,"PC, PlayStation, Xbox, Nintendo",Racing,Q2 2025
Void Sails,PC,RPG,Q2 2025
Tinkerlands,PC,RPG,June 2025
Ertugrul of Ulukayin,PC,Action,Q2 2025
Tony Hawk's Pro Skater 3+4,"PC, PlayStation, Xbox, Nintendo",Sports,"July 11, 2025"
Stronghold: Crusader - Definitive Edition,PC,Strategy,July 2025
Tales of the Shire,"PC, PlayStation, Xbox, Nintendo",RPG,"July 29, 2025"
Red Sails,PC,Adventure,July 2025
