name,platforms,genre,released
F1 Manager 2023,"PC, PlayStation, Xbox",Strategy,2023-07-31
Venba,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-07-31
Rise of the Triad: Ludicrous Edition,"PC, PlayStation, Xbox, Nintendo",Action,2023-07-31
Hello Kitty Island Adventure,"PC, Mobile, Nintendo",Adventure,2023-07-28
The Master's Pupil,"PC, PlayStation, Xbox, Nintendo",Puzzle,2023-07-28
Disney Illusion Island,Nintendo,Arcade,2023-07-28
Arcadian Atlas,"PC, PlayStation, Xbox, Nintendo",RPG,2023-07-27
Let's School,"PC, PlayStation, Xbox, Nintendo",Strategy,2023-07-27
Grand Emprise: Time Travel Survival,PC,Action,2023-07-27
PixelJunk Scrappers Deluxe,"PC, PlayStation, Nintendo",Action,2023-07-27
Double Dragon Gaiden: Rise of the Dragons,"PC, PlayStation, Xbox, Nintendo",Action,2023-07-27
Deadlink,"PC, PlayStation, Xbox",Action,2023-07-27
Koa and the Five Pirates of Mara,"PC, PlayStation, Xbox, Nintendo",Arcade,2023-07-27
The Expanse: A Telltale Series,"PC, PlayStation, Xbox",Adventure,2023-07-27
ANVIL,"PC, Xbox",Action,2023-07-27
Lunacy: Saint Rhodes,PC,Adventure,2023-07-27
Xuan-Yuan Sword: Mists Beyond the Mountains,"PC, Nintendo",RPG,2023-07-26
Hero Legacy,Mobile,RPG,2023-07-25
Arma 3 Creator DLC: Spearhead 1944,PC,Action,2023-07-25
The Banished Vault,PC,Strategy,2023-07-25
Remnant II,"PC, PlayStation, Xbox",Action,2023-07-25
Offroad Mechanic Simulator,"PC, PlayStation, Xbox",Simulation,2023-07-24
Space Cats Tactics,PC,Strategy,2023-07-24
Crime O'Clock,"PC, Nintendo",Puzzle,2023-07-21
Brewpub Simulator,PC,Simulation,2023-07-21
Ultimate Epic Battle Simulator 2,PC,Strategy,2023-07-21
Pikmin 4,Nintendo,Strategy,2023-07-21
Lakeburg Legacies,PC,Strategy,2023-07-20
The Sims 4: Horse Ranch,"PC, PlayStation, Xbox",Simulation,2023-07-20
Might & Magic: Clash of Heroes - Definitive Edition,"PC, PlayStation, Nintendo",Strategy,2023-07-20
Nobunaga's Ambition: Awakening,"PC, PlayStation, Nintendo",Strategy,2023-07-20
Punch Club 2: Fast Forward,"PC, PlayStation, Xbox, Mobile, Nintendo",Strategy,2023-07-20
Krzyzacy: The Knights of the Cross,PC,RPG,2023-07-20
Tiny Football,PC,Sports,2023-07-20
Frank and Drake,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-07-20
Eternal Return,PC,Action,2023-07-20
Unholy,"PC, PlayStation, Xbox",Adventure,2023-07-20
Pokemon Sleep,Mobile,Simulation,2023-07-19
My Friendly Neighborhood,PC,Action,2023-07-18
LISA: Definitive Edition,"PC, PlayStation, Xbox, Nintendo",RPG,2023-07-18
Viewfinder,"PC, PlayStation",Puzzle,2023-07-18
Ember Knights,"PC, Nintendo",RPG,2023-07-18
Deathverse: Let It Die,"PC, PlayStation",Action,2023-07-18
Xenonauts 2,PC,Strategy,2023-07-18
STONKS-9800: Stock Market Simulator,"PC, PlayStation, Xbox, Nintendo",Simulation,2023-07-17
Exoprimal,"PC, PlayStation, Xbox",Action,2023-07-14
Jagged Alliance 3,"PC, PlayStation, Xbox",Strategy,2023-07-14
Brick Rigs,PC,Simulation,2023-07-14
Atelier Marie Remake: The Alchemist of Salburg,"PC, PlayStation, Nintendo",RPG,2023-07-13
Yet Another Zombie Survivors,PC,Action,2023-07-13
Oxenfree II: Lost Signals,"PC, PlayStation, Mobile, Nintendo",Adventure,2023-07-12
Lemnis Gate,"PC, PlayStation, Xbox",Action,2023-07-11
The Legend of Heroes: Trails into Reverie,"PC, PlayStation, Nintendo",RPG,2023-07-07
Synapse,PlayStation,Action,2023-07-04
Everybody 1-2-Switch!,Nintendo,Arcade,2023-06-30
Master Detective Archives: Rain Code,"PC, PlayStation, Xbox, Nintendo",Action,2023-06-30
The Witcher: Monster Slayer,Mobile,RPG,2023-06-30
The Realm Online,PC,RPG,2023-06-30
Divinity Chronicles: Journey to the West,PC,RPG,2023-06-29
AEW: Fight Forever,"PC, PlayStation, Xbox, Nintendo",Sports,2023-06-29
Noob: The Factionless,"PC, PlayStation, Xbox, Nintendo",RPG,2023-06-29
Dave the Diver,"PC, PlayStation, Nintendo",Adventure,2023-06-28
Pekoe,PC,Simulation,2023-06-28
SlavicPunk: Oldtimer,"PC, PlayStation, Xbox",Action,2023-06-28
Soccer Kids,PC,Sports,2023-06-27
Sludge Life 2,PC,Adventure,2023-06-27
Story of Seasons: A Wonderful Life,"PC, PlayStation, Xbox, Nintendo",RPG,2023-06-27
Harry Potter: Magic Awakened,"PC, Mobile",RPG,2023-06-27
Temtem: Showdown,PC,RPG,2023-06-26
Kingdom Eighties,"PC, PlayStation, Xbox, Mobile, Nintendo",Strategy,2023-06-26
Dr. Fetus' Mean Meat Machine,"PC, PlayStation, Xbox, Nintendo",Arcade,2023-06-22
The Bookwalker: Thief of Tales,"PC, PlayStation, Xbox",Adventure,2023-06-22
Final Fantasy XVI,"PC, PlayStation",RPG,2023-06-22
Tinkertown,"PC, Xbox, Nintendo",RPG,2023-06-22
Six Days in Fallujah,"PC, PlayStation, Xbox",Action,2023-06-22
Nova Lands,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-06-21
Trepang2,"PC, PlayStation, Xbox",Action,2023-06-21
Bandit Brawler,PC,Simulation,2023-06-21
Crash Team Rumble,"PlayStation, Xbox",Arcade,2023-06-20
The Pegasus Expedition,PC,Strategy,2023-06-20
Aliens: Dark Descent,"PC, PlayStation, Xbox",RPG,2023-06-20
Aimlabs,"PC, Xbox",Action,2023-06-17
DC Heroes and Villains,Mobile,Puzzle,2023-06-17
F1 23,"PC, PlayStation, Xbox",Racing,2023-06-16
Park Beyond,"PC, PlayStation, Xbox",Strategy,2023-06-16
BattleBit Remastered,PC,Action,2023-06-15
Layers of Fear,"PC, PlayStation, Xbox",Adventure,2023-06-15
Fall of Porcupine,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-06-15
ProtoCorgi,"PC, Nintendo",Action,2023-06-15
Daydream: Forgotten Sorrow,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-06-14
Undawn,"PC, Mobile",Action,2023-06-14
Dordogne,"PC, PlayStation, Xbox, Mobile, Nintendo",Adventure,2023-06-13
Smushi Come Home,"PC, Nintendo",Adventure,2023-06-10
Frogsong,"PC, Nintendo",RPG,2023-06-10
Breach Wanderers,"PC, Mobile",RPG,2023-06-09
MotoGP 23,"PC, PlayStation, Xbox, Nintendo",Racing,2023-06-08
Pro Cycling Manager 2023,PC,Sports,2023-06-08
Tour de France 2023,"PC, PlayStation, Xbox",Sports,2023-06-08
Harmony: The Fall of Reverie,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-06-08
20 Minutes Till Dawn,"PC, Mobile, Nintendo",Action,2023-06-08
Pokemon Trading Card Game Live,"PC, Mobile",Puzzle,2023-06-08
Mask of the Rose,"PC, Nintendo",Adventure,2023-06-08
Espresso Tycoon,"PC, PlayStation, Xbox",Simulation,2023-06-07
Nocturnal,"PC, PlayStation, Xbox, Nintendo",Action,2023-06-07
Amnesia: The Bunker,"PC, PlayStation, Xbox",Adventure,2023-06-06
Loop8: Summer of Gods,"PC, PlayStation, Xbox, Nintendo",RPG,2023-06-06
Knockout City,"PC, PlayStation, Xbox, Nintendo",Action,2023-06-06
Diablo IV,"PC, PlayStation, Xbox",RPG,2023-06-06
The Elder Scrolls Online: Necrom,"PC, PlayStation, Xbox",RPG,2023-06-05
CityDriver,"PC, PlayStation, Xbox",Simulation,2023-06-05
Super Mega Baseball 4,"PC, PlayStation, Xbox, Nintendo",Sports,2023-06-02
We Love Katamari Reroll+ Royal Reverie,"PC, PlayStation, Xbox, Nintendo",Arcade,2023-06-02
Street Fighter 6,"PC, PlayStation, Xbox",Fighting,2023-06-02
Etrian Odyssey Origins Collection,"PC, Nintendo",RPG,2023-06-01
Killer Frequency,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-06-01
Homebody,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-06-01
Myriads: Renaissance,PC,Strategy,2023-06-01
The Tartarus Key,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-05-31
Decarnation,"PC, Nintendo",Adventure,2023-05-31
Stasis: Bone Totem,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-05-31
Mad Games Tycoon 2,PC,Strategy,2023-05-31
Return to Grace,"PC, PlayStation, Xbox",Adventure,2023-05-30
Everdream Valley,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-05-30
Poly Bridge 3,PC,Puzzle,2023-05-30
Shame Legacy,"PC, PlayStation, Xbox",Adventure,2023-05-30
Farworld Pioneers,"PC, PlayStation, Xbox",Action,2023-05-30
System Shock,"PC, PlayStation, Xbox",Action,2023-05-30
Forspoken: In Tanta We Trust,"PC, PlayStation",Action,2023-05-26
Tale of Immortal,"PC, Nintendo",RPG,2023-05-26
Heroes & Generals,PC,Action,2023-05-26
Crimen: Mercenary Tales,PC,Action,2023-05-25
Solasta: Crown of the Magister - Palace of Ice,"PC, PlayStation, Xbox",RPG,2023-05-25
Railway Empire 2,"PC, PlayStation, Xbox, Nintendo",Strategy,2023-05-25
Above Snakes,PC,Simulation,2023-05-25
Landlord's Super,PC,Simulation,2023-05-25
The Lord of the Rings: Gollum,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-05-25
Cruise Ship Manager,PC,Simulation,2023-05-24
Bread & Fred,"PC, Nintendo",Arcade,2023-05-23
Blooming Business: Casino,PC,Strategy,2023-05-23
Farming Simulator 23,"Mobile, Nintendo",Simulation,2023-05-23
Liberte,"PC, PlayStation, Xbox",Action,2023-05-23
After Us,"PC, PlayStation, Xbox",Adventure,2023-05-23
Glitch Busters: Stuck on You,"PC, PlayStation, Nintendo",Action,2023-05-23
"Warhammer 40,000: Boltgun","PC, PlayStation, Xbox, Nintendo",Action,2023-05-23
Miasma Chronicles,"PC, PlayStation, Xbox",RPG,2023-05-23
Star Trek: Resurgence,"PC, PlayStation, Xbox",Adventure,2023-05-23
Planet of Lana,"PC, PlayStation, Xbox, Nintendo",Arcade,2023-05-23
Convergence: A League of Legends Story,"PC, PlayStation, Xbox, Nintendo",Action,2023-05-23
Victoria 3: Voice of the People,PC,Strategy,2023-05-22
LEGO 2K Drive,"PC, PlayStation, Xbox, Nintendo",Racing,2023-05-19
Ghostlore,"PC, Xbox",RPG,2023-05-18
Rule the Waves 3,PC,Strategy,2023-05-18
Firmament,"PC, PlayStation",Adventure,2023-05-18
CrossfireX,"PC, Xbox",Action,2023-05-18
Hawken Reborn,PC,Action,2023-05-17
Age of Empires II: Definitive Edition - Return of Rome,"PC, Xbox",Strategy,2023-05-16
HROT,PC,Action,2023-05-16
Humanity,"PC, PlayStation, Xbox",Arcade,2023-05-16
The Lord of the Rings: Heroes of Middle-earth,Mobile,RPG,2023-05-15
Echoes of Mana,Mobile,RPG,2023-05-15
Cook Serve Forever,PC,Simulation,2023-05-15
Flashing Lights,PC,Simulation,2023-05-15
Disgaea RPG,"PC, Mobile",RPG,2023-05-12
The Legend of Zelda: Tears of the Kingdom,Nintendo,Action,2023-05-12
Bum Simulator,"PC, PlayStation, Xbox, Nintendo",Simulation,2023-05-12
Crusader Kings III: Tours & Tournaments,PC,Strategy,2023-05-11
Another Fisherman's Tale,"PC, PlayStation",Puzzle,2023-05-11
Death or Treat,"PC, PlayStation, Xbox, Nintendo",Action,2023-05-11
TT Isle of Man: Ride on the Edge 3,"PC, PlayStation, Xbox, Nintendo",Racing,2023-05-11
Fuga: Melodies of Steel 2,"PC, PlayStation, Xbox, Nintendo",RPG,2023-05-11
Occupy Mars: The Game,PC,Simulation,2023-05-10
Stellaris: Galactic Paragons,PC,Strategy,2023-05-09
Pan'orama,"PC, Nintendo",Puzzle,2023-05-09
Peridot,Mobile,Simulation,2023-05-09
Dokapon Kingdom: Connect,"PC, Nintendo",Party,2023-05-09
Torchlight: Infinite,"PC, Mobile",RPG,2023-05-09
Darkest Dungeon II,"PC, PlayStation, Xbox, Nintendo",RPG,2023-05-08
Idol Showdown,PC,Fighting,2023-05-06
What the Car?,"PC, Mobile",Arcade,2023-05-04
Teenage Mutant Ninja Turtles: Splintered Fate,"PC, Mobile, Nintendo",Action,2023-05-04
Against All Odds,PC,Arcade,2023-05-04
Ravenlok,"PC, Xbox",Action,2023-05-04
NeuroNet: Mendax Proxy,"PC, Mobile, Nintendo",Adventure,2023-05-04
Tape to Tape,PC,Sports,2023-05-03
Silica,PC,Action,2023-05-03
Showgunners,PC,Strategy,2023-05-02
Age of Wonders 4,"PC, PlayStation, Xbox",Strategy,2023-05-02
Redfall,"PC, Xbox",Action,2023-05-02
We. The Refugees: Ticket to Europe,"PC, Mobile",Adventure,2023-05-01
City of Beats,"PC, Nintendo",Action,2023-05-01
CrimeSight,PC,Strategy,2023-05-01
Apex Legends Mobile,Mobile,Action,2023-05-01
Crystarise,PC,RPG,2023-04-28
Star Wars Jedi: Survivor,"PC, PlayStation, Xbox",Action,2023-04-28
Minabo: A Walk Through Life,"PC, PlayStation, Xbox, Mobile, Nintendo",Adventure,2023-04-28
Skinny & Franko: Fists of Violence,"PC, PlayStation, Xbox, Nintendo",Action,2023-04-28
Shepherd's Crossing,"PC, PlayStation, Nintendo",Simulation,2023-04-27
The Swordsmen X: Survival,PC,RPG,2023-04-27
Picross S9,Nintendo,Puzzle,2023-04-27
Omega Strikers,"PC, PlayStation, Xbox, Mobile, Nintendo",Arcade,2023-04-27
Mail Time,"PC, PlayStation, Nintendo",Adventure,2023-04-27
The Last Case of Benedict Fox,"PC, PlayStation, Xbox",Action,2023-04-27
Dungeon Drafters,"PC, PlayStation, Xbox, Nintendo",RPG,2023-04-27
Ash of Gods: The Way,"PC, Nintendo",RPG,2023-04-27
Bramble: The Mountain King,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-04-27
Cassette Beasts,"PC, Xbox, Mobile, Nintendo",RPG,2023-04-26
Honkai: Star Rail,"PC, PlayStation, Mobile",RPG,2023-04-26
Dragon Quest: The Adventure of Dai - A Hero's Bonds,Mobile,RPG,2023-04-26
Strayed Lights,"PC, PlayStation, Xbox, Nintendo",Action,2023-04-25
Roots of Pacha,"PC, PlayStation, Xbox, Nintendo",RPG,2023-04-25
Stranded: Alien Dawn,"PC, PlayStation, Xbox",Strategy,2023-04-25
Afterimage,"PC, PlayStation, Xbox, Nintendo",Action,2023-04-25
"Oddyssey: Your Space, Your Way",PC,Simulation,2023-04-25
Farlight 84,"PC, Mobile",Action,2023-04-24
Homestead Arcana,"PC, Xbox",Adventure,2023-04-21
TasteMaker,PC,Strategy,2023-04-21
Total Conflict: Resistance,PC,Action,2023-04-21
Advance Wars 1+2: Re-Boot Camp,Nintendo,Strategy,2023-04-21
Dead Island 2,"PC, PlayStation, Xbox",Action,2023-04-21
OTXO,"PC, PlayStation, Nintendo",Action,2023-04-20
Amid Evil VR,PC,Action,2023-04-20
Labyrinth of Zangetsu,"PC, PlayStation, Nintendo",RPG,2023-04-20
Coffee Talk: Episode 2 - Hibiscus & Butterfly,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-04-20
Stray Blade,"PC, PlayStation, Xbox",RPG,2023-04-20
Tin Hearts,"PC, PlayStation, Xbox, Nintendo",Puzzle,2023-04-20
Teslagrad Remastered,"PC, PlayStation, Xbox, Nintendo",Puzzle,2023-04-19
Horizon: Forbidden West - Burning Shores,PlayStation,Action,2023-04-19
Fire and Maneuver,PC,Strategy,2023-04-19
Teslagrad 2,"PC, PlayStation, Xbox, Nintendo",Puzzle,2023-04-19
Europa Universalis IV: Domination,PC,Strategy,2023-04-18
The Mageseeker: A League of Legends Story,"PC, PlayStation, Xbox, Nintendo",RPG,2023-04-18
God of Rock,"PC, PlayStation, Xbox, Nintendo",Fighting,2023-04-18
Minecraft Legends,"PC, PlayStation, Xbox, Nintendo",Strategy,2023-04-18
Shieldwall,"PC, PlayStation, Xbox, Nintendo",Action,2023-04-18
Pets Hotel,PC,Simulation,2023-04-17
De-Exit: Eternal Matters,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-04-14
Mega Man Battle Network Legacy Collection,"PC, PlayStation, Nintendo",RPG,2023-04-14
Shardpunk: Verminfall,PC,RPG,2023-04-13
Breachers,"PC, PlayStation",Action,2023-04-13
Total War: Warhammer III - Forge of the Chaos Dwarfs,PC,Strategy,2023-04-13
House Flipper: Farm,"PC, PlayStation, Xbox",Simulation,2023-04-13
Kill It With Fire VR,"PC, PlayStation",Action,2023-04-13
Boundary,"PC, PlayStation",Action,2023-04-13
Rusted Moss,"PC, PlayStation, Xbox, Nintendo",Action,2023-04-12
X4: Kingdom End,PC,Simulation,2023-04-12
Flooded,"PC, PlayStation, Xbox, Nintendo",Strategy,2023-04-12
Wildfrost,"PC, Xbox, Mobile, Nintendo",Strategy,2023-04-12
Wartales,"PC, Xbox, Nintendo",RPG,2023-04-12
Caliber,PC,Action,2023-04-12
Monopoly Go!,Mobile,Strategy,2023-04-11
Hearthstone: Festival of Legends,"PC, Mobile",Puzzle,2023-04-11
Tron: Identity,"PC, Nintendo",Adventure,2023-04-11
Sherlock Holmes: The Awakened,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-04-11
Cynthia: Hidden in the Moonshadow,"PC, Xbox, Nintendo",Adventure,2023-04-10
Resident Evil 4: The Mercenaries,"PC, PlayStation, Xbox",Action,2023-04-07
EA Sports PGA Tour,"PC, PlayStation, Xbox",Sports,2023-04-07
The Library of Babel,"PC, PlayStation, Xbox, Mobile, Nintendo",Arcade,2023-04-07
Supplice,PC,Action,2023-04-06
Melon Journey: Bittersweet Memories,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-04-06
Everspace 2,"PC, PlayStation, Xbox",Action,2023-04-06
Curse of the Sea Rats,"PC, PlayStation, Xbox, Nintendo",Arcade,2023-04-06
Grimgrad,PC,Strategy,2023-04-05
Tax Heaven 3000,PC,Adventure,2023-04-04
Road 96: Mile 0,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-04-04
Meet Your Maker,"PC, PlayStation, Xbox",Action,2023-04-04
GrimGrimoire OnceMore,"PlayStation, Nintendo",Strategy,2023-04-04
Beyond Contact,"PC, PlayStation, Xbox",Action,2023-04-04
Passpartout 2: The Lost Artist,"PC, Mobile, Nintendo",Simulation,2023-04-04
Crab Champions,PC,Action,2023-04-01
The Murder of Sonic the Hedgehog,PC,Adventure,2023-03-31
Hot Wheels: Rift Rally,"PlayStation, Mobile",Racing,2023-03-31
Love Live! School Idol Festival,Mobile,Arcade,2023-03-31
Vertigo 2,"PC, PlayStation",Action,2023-03-30
Total Tank Generals,PC,Strategy,2023-03-30
The Great War: Western Front,PC,Strategy,2023-03-30
Ravenbound,PC,RPG,2023-03-30
Lunark,"PC, PlayStation, Xbox, Nintendo",Arcade,2023-03-30
Infinite Guitars,"PC, Xbox, Nintendo",RPG,2023-03-30
Dredge,"PC, PlayStation, Xbox, Mobile, Nintendo",RPG,2023-03-30
The Last Worker,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-03-30
Uragun,"PC, PlayStation, Xbox, Nintendo",Action,2023-03-30
Tainted Grail: The Fall of Avalon,"PC, PlayStation, Xbox",RPG,2023-03-30
Forza Horizon 5: Rally Adventure,"PC, PlayStation, Xbox",Racing,2023-03-29
Brotato,"PC, PlayStation, Xbox, Mobile, Nintendo",Action,2023-03-29
Gripper,"PC, PlayStation, Xbox, Nintendo",Action,2023-03-29
MLB: The Show 23,"PlayStation, Xbox, Nintendo",Sports,2023-03-28
Crime Boss: Rockay City,"PC, PlayStation, Xbox",Action,2023-03-28
Terra Nil,"PC, Mobile, Nintendo",Strategy,2023-03-28
Touch Type Tale,PC,Strategy,2023-03-28
9 Years of Shadows,"PC, Nintendo",Action,2023-03-27
Atelier Ryza 3: Alchemist of the End & the Secret Key,"PC, PlayStation, Nintendo",RPG,2023-03-24
Resident Evil 4,"PC, PlayStation, Xbox, Mobile",Action,2023-03-24
Ancient Cities,PC,Strategy,2023-03-24
Mr. Saitou,PC,Adventure,2023-03-23
Storyteller,"PC, Mobile, Nintendo",Puzzle,2023-03-23
Have a Nice Death,"PC, PlayStation, Xbox, Nintendo",Action,2023-03-22
Deceive Inc.,"PC, PlayStation, Xbox",Action,2023-03-21
Tchia,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-03-21
Bayonetta Origins: Cereza and the Lost Demon,Nintendo,Adventure,2023-03-17
Peppa Pig: World Adventures,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-03-17
Anthology of Fear,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-03-17
The Sims 4: Growing Together,"PC, PlayStation, Xbox",Simulation,2023-03-16
WWE 2K23,"PC, PlayStation, Xbox",Sports,2023-03-16
The Dark Pictures: Switchback VR,PlayStation,Action,2023-03-16
Backbeat,"PC, PlayStation, Xbox, Nintendo",Puzzle,2023-03-15
Vernal Edge,"PC, PlayStation, Xbox, Nintendo",Action,2023-03-14
Stellaris: First Contact,"PC, PlayStation, Xbox",Strategy,2023-03-14
Highwater,"PC, PlayStation, Xbox, Mobile, Nintendo",Adventure,2023-03-14
The Wreck,"PC, PlayStation, Xbox, Mobile, Nintendo",Adventure,2023-03-14
The Elder Scrolls Online: Scribes of Fate,"PC, PlayStation, Xbox",RPG,2023-03-13
Life of Delta,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-03-13
Barotrauma,PC,Simulation,2023-03-13
Sun Haven,PC,RPG,2023-03-11
DC's Justice League: Cosmic Chaos,"PC, PlayStation, Xbox, Nintendo",Action,2023-03-10
Mato Anomalies,"PC, PlayStation, Xbox, Nintendo",RPG,2023-03-10
Bleak Faith: Forsaken,"PC, PlayStation, Xbox",RPG,2023-03-10
Sea of Craft,PC,Simulation,2023-03-10
Creepy Tale 3: Ingrid Penance,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-03-09
Terraformers,"PC, PlayStation, Xbox, Nintendo",Strategy,2023-03-09
Tiny Troopers: Global Ops,"PC, PlayStation, Xbox, Nintendo",Action,2023-03-09
Chippy & Noppo,"PC, Nintendo",Puzzle,2023-03-09
Monster Energy Supercross: The Official Videogame 6,"PC, PlayStation, Xbox",Racing,2023-03-09
Clash: Artifacts of Chaos,"PC, PlayStation, Xbox",Action,2023-03-09
Figment 2: Creed Valley,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-03-09
The Last Spell,"PC, PlayStation, Nintendo",RPG,2023-03-09
DIG: Deep in Galaxies,PC,Action,2023-03-08
Paranormasight: The Seven Mysteries of Honjo,"PC, Mobile, Nintendo",Adventure,2023-03-08
ONI: Road to be the Mightiest Oni,"PC, PlayStation, Nintendo",Action,2023-03-08
Contraband Police,PC,Simulation,2023-03-08
Pathfinder: Wrath of the Righteous - The Last Sarkorians,"PC, PlayStation, Xbox, Nintendo",RPG,2023-03-07
Knights of Pen & Paper 3,PC,RPG,2023-03-07
Hotel Renovator,"PC, PlayStation, Xbox",Simulation,2023-03-07
The Outer Worlds: Spacer's Choice Edition,"PC, PlayStation, Xbox",RPG,2023-03-07
Romancelvania,"PC, PlayStation, Xbox, Nintendo",Arcade,2023-03-07
Rogue Spirit,"PC, PlayStation, Xbox",Action,2023-03-07
Dead Cells: Return to Castlevania,"PC, PlayStation, Xbox, Mobile, Nintendo",Action,2023-03-06
Apex Point,PC,Racing,2023-03-05
Wo Long: Fallen Dynasty,"PC, PlayStation, Xbox",RPG,2023-03-03
King of the Castle,PC,Strategy,2023-03-02
Aery: Calm Mind 3,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-03-02
Dreadful River,PC,Action,2023-02-28
Merge & Blade,"PC, Xbox",Strategy,2023-02-28
Catan: Console Edition,"PlayStation, Xbox",Strategy,2023-02-28
Destiny 2: Lightfall,"PC, PlayStation, Xbox",Action,2023-02-28
void* tRrLM2(); //Void Terrarium 2,"PlayStation, Nintendo",RPG,2023-02-28
Rumbleverse,"PC, PlayStation, Xbox",Action,2023-02-28
Lumencraft,PC,Action,2023-02-28
Scars Above,"PC, PlayStation, Xbox",Action,2023-02-28
Rytmos,"PC, Mobile, Nintendo",Puzzle,2023-02-28
Phantom Brigade,PC,Strategy,2023-02-28
Limbus Company,"PC, Mobile",RPG,2023-02-27
Babylon's Fall,"PC, PlayStation",Action,2023-02-27
Kirby's Return to Dream Land Deluxe,Nintendo,Arcade,2023-02-24
Octopath Traveler II,"PC, PlayStation, Xbox, Nintendo",RPG,2023-02-24
The Pale Beyond,"PC, Nintendo",Strategy,2023-02-24
Clive 'N' Wrench,"PC, PlayStation, Nintendo",Arcade,2023-02-24
Kerbal Space Program 2,"PC, PlayStation, Xbox",Simulation,2023-02-24
Gal Guardians: Demon Purge,"PC, PlayStation, Xbox, Nintendo",Action,2023-02-23
Chef Life: A Restaurant Simulator,"PC, PlayStation, Xbox, Nintendo",Simulation,2023-02-23
Company of Heroes 3,"PC, PlayStation, Xbox",Strategy,2023-02-23
Blood Bowl 3,"PC, PlayStation, Xbox, Nintendo",Sports,2023-02-23
Redemption Reapers,"PC, PlayStation, Nintendo",Strategy,2023-02-22
Star Wars: Tales from the Galaxy's Edge - Enhanced Edition,PlayStation,Action,2023-02-22
Zenith: The Last City,"PC, PlayStation",RPG,2023-02-22
Horizon: Call of the Mountain,PlayStation,Action,2023-02-22
Pavlov,"PC, PlayStation",Action,2023-02-22
Vendir: Plague of Lies,"PC, Mobile",RPG,2023-02-21
Like a Dragon: Ishin,"PC, PlayStation, Xbox",Action,2023-02-21
Atomic Heart,"PC, PlayStation, Xbox",Action,2023-02-21
Birth,"PC, Xbox",Adventure,2023-02-17
Gigantosaurus: Dino Kart,"PC, PlayStation, Xbox, Nintendo",Racing,2023-02-17
Tales of Symphonia Remastered,"PlayStation, Xbox, Nintendo",RPG,2023-02-17
SpaceBourne 2,PC,Action,2023-02-17
The Settlers: New Allies,"PC, PlayStation, Xbox, Nintendo",Strategy,2023-02-17
White Day 2: The Flower That Tells Lies,"PC, PlayStation, Xbox",Action,2023-02-16
Wild Hearts,"PC, PlayStation, Xbox",Action,2023-02-16
Loretta,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-02-16
Crash Bandicoot: On the Run!,Mobile,Arcade,2023-02-16
Pinball FX,"PC, PlayStation, Xbox, Nintendo",Arcade,2023-02-16
Plan B: Terraform,PC,Strategy,2023-02-15
The Last Starship,PC,Strategy,2023-02-15
Pharaoh: A New Era,PC,Strategy,2023-02-15
Operation: Harsh Doorstop,PC,Action,2023-02-15
Ten Dates,"PC, PlayStation, Xbox, Mobile, Nintendo",Adventure,2023-02-14
Blanc,"PC, Nintendo",Adventure,2023-02-14
Wanted: Dead,"PC, PlayStation, Xbox",Action,2023-02-14
Tomb Raider Reloaded,Mobile,Action,2023-02-14
Hogwarts Legacy,"PC, PlayStation, Xbox, Nintendo",RPG,2023-02-10
Master of Magic: Scourge of the Seas,PC,Strategy,2023-02-08
Metroid Prime Remastered,Nintendo,Action,2023-02-08
Nadir: A Grimdark Deckbuilder,"PC, Nintendo",RPG,2023-02-07
SpellForce: Conquest of Eo,"PC, PlayStation, Xbox",Strategy,2023-02-03
Inward,PC,Simulation,2023-02-02
Your Only Move Is Hustle,PC,Fighting,2023-02-02
Tails: The Backbone Preludes,PC,Adventure,2023-02-02
Nuclear War Simulator,PC,Strategy,2023-02-02
Deliver Us Mars,"PC, PlayStation, Xbox",Adventure,2023-02-02
Perish,"PC, PlayStation, Xbox",Action,2023-02-02
Rhythm Sprout,"PC, PlayStation, Xbox, Nintendo",Action,2023-02-01
