name,platforms,genre,released
Death Roads: Tournament,PC,Strategy,2023-11-15
American Arcadia,PC,Adventure,2023-11-15
The Last Faith,"PC, PlayStation, Xbox, Nintendo",Action,2023-11-15
SINoALICE,Mobile,RPG,2023-11-15
Death Must Die,PC,Action,2023-11-14
Howl,"PC, PlayStation, Xbox, Mobile, Nintendo",Strategy,2023-11-14
Forza Customs,Mobile,Puzzle,2023-11-14
Remnant II: The Awakened King,"PC, PlayStation, Xbox",Action,2023-11-14
Hearthstone: Showdown in the Badlands,"PC, Mobile",Puzzle,2023-11-14
Age of Empires IV: The Sultans Ascend,"PC, Xbox",Strategy,2023-11-14
Refind Self: The Personality Test Game,"PC, Mobile, Nintendo",Adventure,2023-11-14
Backpack Hero,"PC, PlayStation, Xbox, Nintendo",RPG,2023-11-14
UFO Robot Grendizer: The Feast of the Wolves,"PC, PlayStation, Xbox, Nintendo",Action,2023-11-14
Farming Simulator 22: Premium Expansion,"PC, PlayStation, Xbox",Simulation,2023-11-14
KarmaZoo,"PC, PlayStation, Xbox, Nintendo",Arcade,2023-11-14
Astral Ascent,"PC, PlayStation, Nintendo",Action,2023-11-14
Coral Island,"PC, PlayStation, Xbox",RPG,2023-11-14
Asterix & Obelix: Slap Them All! 2,"PC, PlayStation, Xbox, Nintendo",Action,2023-11-13
Spirittea,"PC, Xbox, Nintendo",RPG,2023-11-13
Blazing Sails,PC,Action,2023-11-13
Call of Duty: Modern Warfare III,"PC, PlayStation, Xbox",Action,2023-11-10
Super Double Dragon,"PC, PlayStation, Xbox, Nintendo",Action,2023-11-09
Tales of Arise: Beyond the Dawn,"PC, PlayStation, Xbox",RPG,2023-11-09
Stride: Fates,"PC, PlayStation",Action,2023-11-09
Cuisineer,"PC, PlayStation, Xbox, Nintendo",RPG,2023-11-09
Dungeons 4,"PC, PlayStation, Xbox, Nintendo",Strategy,2023-11-09
Spells & Secrets,"PC, PlayStation, Xbox, Nintendo",Action,2023-11-09
Ikonei Island: An Earthlock Adventure,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-11-09
Sanabi,"PC, Nintendo",Action,2023-11-09
Colony Ship,PC,RPG,2023-11-09
The Lord of the Rings Online: Corsairs of Umbar,PC,RPG,2023-11-08
Risk of Rain Returns,"PC, Nintendo",Action,2023-11-08
Like a Dragon Gaiden: The Man Who Erased His Name,"PC, PlayStation, Xbox",Action,2023-11-08
Beyond Sunset,PC,Action,2023-11-08
Gunhead,"PC, PlayStation",Action,2023-11-08
Age of Wonders 4: Empires & Ashes,"PC, PlayStation, Xbox",Strategy,2023-11-07
Let's Sing 2024,"PlayStation, Xbox, Nintendo",Party,2023-11-07
Robocraft 2,PC,Action,2023-11-07
The Awakener: Forgotten Oath,"PC, PlayStation",Action,2023-11-07
Nickelodeon All-Star Brawl 2,"PC, PlayStation, Xbox, Nintendo",Fighting,2023-11-07
Stronghold: Definitive Edition,PC,Strategy,2023-11-07
Roboquest,"PC, PlayStation, Xbox",Action,2023-11-07
Tintin Reporter: Cigars of the Pharaoh,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-11-07
Football Manager 2024 Mobile,Mobile,Sports,2023-11-06
Football Manager 2024 Touch,"Mobile, Nintendo",Sports,2023-11-06
Europa Universalis IV: King of Kings,PC,Strategy,2023-11-06
Greed Is Good,PC,RPG,2023-11-06
Football Manager 2024 Console,"PC, PlayStation, Xbox",Sports,2023-11-06
Football Manager 2024,PC,Sports,2023-11-06
Space Punks,"PC, PlayStation, Xbox",Action,2023-11-06
The Invincible,"PC, PlayStation, Xbox",Adventure,2023-11-06
One Night: Burlesque,"PC, Nintendo",Adventure,2023-11-03
WarioWare: Move It!,Nintendo,Arcade,2023-11-03
DreamWorks All-Star Kart Racing,"PC, PlayStation, Xbox, Nintendo",Racing,2023-11-03
Ebenezer and The Invisible World,"PC, PlayStation, Xbox, Nintendo",Action,2023-11-03
WRC,"PC, PlayStation, Xbox",Racing,2023-11-03
Frigato: Shadows of the Caribbean,"PC, Xbox, Nintendo",Strategy,2023-11-03
Warcraft Rumble,"PC, Mobile",Strategy,2023-11-03
Ranch Simulator,PC,Simulation,2023-11-03
Quantum Error,"PC, PlayStation, Xbox",Action,2023-11-03
Dead Island 2: Haus,"PC, PlayStation, Xbox",Action,2023-11-02
Star Ocean: The Second Story R,"PC, PlayStation, Nintendo",RPG,2023-11-02
PowerWash Simulator VR,PC,Simulation,2023-11-02
Vampire: The Masquerade - Justice,"PC, PlayStation",Action,2023-11-02
The Talos Principle 2,"PC, PlayStation, Xbox",Puzzle,2023-11-02
Phantom Blade: Executioners,"PC, PlayStation, Mobile",Action,2023-11-02
The Smurfs 2: The Prisoner of the Green Stone,"PC, PlayStation, Xbox, Nintendo",Arcade,2023-11-02
The Silent Swan,"PC, PlayStation",Adventure,2023-11-02
For the King II,"PC, PlayStation, Xbox",RPG,2023-11-02
Achilles: Legends Untold,"PC, PlayStation, Xbox, Nintendo",RPG,2023-11-02
Thirsty Suitors,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-11-02
RoboCop: Rogue City,"PC, PlayStation, Xbox, Nintendo",Action,2023-11-02
My Time at Sandrock,"PC, PlayStation, Xbox, Nintendo",RPG,2023-11-02
The Iron Oath,PC,RPG,2023-11-02
This Bed We Made,PC,Adventure,2023-11-01
Song of Nunu: A League of Legends Story,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-11-01
Alien Hominid Invasion,"PC, Xbox, Nintendo",Action,2023-11-01
Lunacid,PC,RPG,2023-10-31
Age of Empires II: Definitive Edition - The Mountain Royals,"PC, Xbox",Strategy,2023-10-31
Little Goody Two Shoes,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-10-31
Headbangers: Rhythm Royale,"PC, PlayStation, Xbox, Nintendo",Arcade,2023-10-31
Jusant,"PC, PlayStation, Xbox",Adventure,2023-10-31
Silent Hill: Ascension,"PC, Mobile",Adventure,2023-10-31
Gloria Victis,PC,RPG,2023-10-31
Desolatium,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-10-27
EA Sports UFC 5,"PlayStation, Xbox",Sports,2023-10-27
Alan Wake 2,"PC, PlayStation, Xbox",Action,2023-10-27
Sands of Aura,PC,RPG,2023-10-27
Annapurna Interactive Deluxe Limited Edition Collection,Nintendo,Adventure,2023-10-26
Ghostbusters: Rise of the Ghost Lord,"PC, PlayStation",Action,2023-10-26
ARK: Survival Ascended,"PC, PlayStation, Xbox",Action,2023-10-26
NecroCity,PC,Strategy,2023-10-26
Journey to Foundation,"PC, PlayStation",Adventure,2023-10-26
Hamster on Rails,"PC, PlayStation, Xbox, Nintendo",Puzzle,2023-10-26
The Unliving,PC,RPG,2023-10-26
Ghostrunner 2,"PC, PlayStation, Xbox",Action,2023-10-26
Legacy,PC,Strategy,2023-10-26
Beast: False Prophet,PC,RPG,2023-10-25
Stray Souls,"PC, PlayStation, Xbox",Adventure,2023-10-25
Just Dance 2024,"PlayStation, Xbox, Nintendo",Party,2023-10-24
Metal Gear Solid: Master Collection Vol. 1,"PC, PlayStation, Xbox, Nintendo",Action,2023-10-24
Cities: Skylines II,"PC, PlayStation, Xbox",Strategy,2023-10-24
The Lord of the Rings: Return to Moria,"PC, PlayStation, Xbox",Action,2023-10-24
Palia,"PC, Nintendo",Adventure,2023-10-24
Dark Envoy,"PC, PlayStation, Xbox",RPG,2023-10-24
Slay the Princess,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-10-23
Lethal Company,PC,Action,2023-10-23
Dead Signal,PC,Adventure,2023-10-20
Super Mario Bros. Wonder,Nintendo,Arcade,2023-10-20
Marvel's Spider-Man 2,"PC, PlayStation",Action,2023-10-20
Gargoyles Remastered,"PC, PlayStation, Xbox, Nintendo",Action,2023-10-19
AirportSim,"PC, Xbox",Simulation,2023-10-19
Hot Wheels Unleashed 2: Turbocharged,"PC, PlayStation, Xbox, Nintendo",Racing,2023-10-19
The 7th Guest VR,"PC, PlayStation",Adventure,2023-10-19
Agatha Christie: Murder on the Orient Express,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-10-19
Galactic Civilizations IV: Supernova,PC,Strategy,2023-10-19
The Gap,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-10-19
Euro Truck Simulator 2: West Balkans,PC,Simulation,2023-10-19
Laika: Aged Through Blood,"PC, PlayStation, Xbox, Nintendo",Action,2023-10-19
Endless Dungeon,"PC, PlayStation, Xbox, Nintendo",RPG,2023-10-19
World of Horror,"PC, PlayStation, Nintendo",RPG,2023-10-19
The Troop,PC,Strategy,2023-10-18
Hellboy: Web of Wyrd,"PC, PlayStation, Xbox, Nintendo",Action,2023-10-18
Dreadhunter,PC,Action,2023-10-18
Kona II: Brume,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-10-18
Alaskan Road Truckers,"PC, PlayStation, Xbox, Mobile, Nintendo",Simulation,2023-10-18
Skull Island: Rise of Kong,"PC, PlayStation, Xbox, Nintendo",Action,2023-10-17
Sonic Superstars,"PC, PlayStation, Xbox, Nintendo",Arcade,2023-10-17
Mortal Kombat: Onslaught,Mobile,RPG,2023-10-17
Nuclear Option,PC,Simulation,2023-10-16
Outpath,PC,Simulation,2023-10-16
Franz,Mobile,Simulation,2023-10-16
Wizard with a Gun,"PC, PlayStation, Xbox, Nintendo",Action,2023-10-16
The Coffin of Andy and Leyley,PC,Adventure,2023-10-13
Lost Recall,PC,Puzzle,2023-10-13
Lords of the Fallen,"PC, PlayStation, Xbox",RPG,2023-10-13
Mercenaries Lament: Requiem of the Silver Wolf,"PC, PlayStation, Nintendo",RPG,2023-10-12
Tribe: Primitive Builder,"PC, PlayStation, Xbox",Adventure,2023-10-12
Haunted House,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-10-12
Company of Heroes Collection,Nintendo,Strategy,2023-10-12
Saltsea Chronicles,"PC, PlayStation, Nintendo",Adventure,2023-10-12
Star Trek: Infinite,PC,Strategy,2023-10-12
The Front,PC,Action,2023-10-11
Total War: Pharaoh,PC,Strategy,2023-10-11
Monolith,"PC, Mobile, Nintendo",Adventure,2023-10-11
Wild Card Football,"PC, PlayStation, Xbox, Nintendo",Sports,2023-10-10
Hearts of Iron IV: Arms Against Tyranny,PC,Strategy,2023-10-10
Jected: Rivals,PC,Racing,2023-10-10
Forza Motorsport,"PC, Xbox",Racing,2023-10-10
Long Gone Days,"PC, PlayStation, Xbox, Nintendo",RPG,2023-10-10
Horizon: Forbidden West - Complete Edition,"PC, PlayStation",Action,2023-10-06
NHL 24,"PlayStation, Xbox",Sports,2023-10-06
Detective Pikachu Returns,Nintendo,Adventure,2023-10-06
Sword Art Online Last Recollection,"PC, PlayStation, Xbox",RPG,2023-10-06
Asterix & Obelix: Heroes,"PC, PlayStation, Xbox, Nintendo",Strategy,2023-10-05
Stop Dead,PC,Action,2023-10-05
Hidden Through Time 2: Myths & Magic,"PC, PlayStation, Xbox, Mobile, Nintendo",Puzzle,2023-10-05
Wargroove 2,"PC, Xbox, Nintendo",Strategy,2023-10-05
Assassin's Creed: Mirage,"PC, PlayStation, Xbox, Mobile",Action,2023-10-05
Front Mission 2: Remake,"PC, PlayStation, Xbox, Nintendo",RPG,2023-10-05
Bang-On Balls: Chronicles,"PC, PlayStation, Xbox, Nintendo",Arcade,2023-10-05
Thief Simulator 2,"PC, PlayStation, Xbox, Nintendo",Simulation,2023-10-04
High on Life: High on Knife,"PC, PlayStation, Xbox",Action,2023-10-03
New World: Rise of the Angry Earth,"PC, PlayStation, Xbox",RPG,2023-10-03
Station to Station,PC,Puzzle,2023-10-03
The Lamplighters League,"PC, Xbox",RPG,2023-10-03
Disgaea 7: Vows of the Virtueless,"PC, PlayStation, Nintendo",RPG,2023-10-03
Bilkins' Folly,"PC, PlayStation, Nintendo",Adventure,2023-10-02
Cypher 007,Mobile,Action,2023-09-29
PAW Patrol World,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-09-29
EA Sports FC 24,"PC, PlayStation, Xbox, Nintendo",Sports,2023-09-29
Fate/Samurai Remnant,"PC, PlayStation, Nintendo",RPG,2023-09-29
Cocoon,"PC, PlayStation, Xbox, Nintendo",Puzzle,2023-09-29
Torn Away,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-09-29
Fortune's Run,PC,Action,2023-09-28
Dolphin Spirit: Ocean Mission,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-09-28
Afterdream,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-09-28
Overpass 2,"PC, PlayStation, Xbox",Racing,2023-09-28
I Expect You to Die 3: Cog in the Machine,PC,Puzzle,2023-09-28
Pizza Possum,"PC, PlayStation, Xbox, Nintendo",Arcade,2023-09-28
My Hero: Ultra Rumble,"PC, PlayStation, Xbox, Nintendo",Action,2023-09-28
Disney Speedstorm,"PC, PlayStation, Xbox, Nintendo",Racing,2023-09-28
Underground Blossom,"PC, Mobile",Adventure,2023-09-27
Counter-Strike 2,PC,Action,2023-09-27
Beneath Oresa,"PC, PlayStation, Xbox, Nintendo",RPG,2023-09-27
Hometopia,PC,Simulation,2023-09-27
The Cycle,PC,Action,2023-09-27
WitchSpring R,"PC, PlayStation, Xbox, Nintendo",RPG,2023-09-26
Paleo Pines,"PC, PlayStation, Xbox, Nintendo",Adventure,2023-09-26
EA Sports FC Mobile,Mobile,Sports,2023-09-26
Train Sim World 4,"PC, PlayStation, Xbox",Simulation,2023-09-26
Truck Driver: The American Dream,"PlayStation, Xbox",Simulation,2023-09-26
Harvest Moon: The Winds of Anthos,"PC, PlayStation, Xbox, Nintendo",RPG,2023-09-26
Cyberpunk 2077: Phantom Liberty,"PC, PlayStation, Xbox",RPG,2023-09-26
"El Paso, Elsewhere","PC, PlayStation, Xbox, Mobile",Action,2023-09-26
Mineko's Night Market,"PC, PlayStation, Xbox, Nintendo",RPG,2023-09-26
